"lt_convenio_train.id","lt_convenio_train.antig_anos","lt_convenio_train.horas","lt_convenio_train.sueldo_diario_integrado","lt_convenio_train.tipo_de_abogado","lt_convenio_train.trab_base","lt_convenio_train.gen","lt_convenio_train.reinstalacion_t","lt_convenio_train.indem_const_t","lt_convenio_train.sal_caidos_t","lt_convenio_train.rec_hr_extra","lt_convenio_train.rec_20_d_ias_t","lt_convenio_train.sarimssinfo","lt_convenio_train.cod_imss","lt_convenio_train.y"
1058,-0.32259465707512,-0.344235355742444,-0.532796671785431,"0","0","0","0","1","1","1","0","0","0",10000
1264,0.91011917448568,0.127308610644889,-0.600889645868454,"0","0","0","1","0","1","1","0","1","0",6500
1440,-0.567685035956869,1.07039654341955,-0.0882106776913209,"0","0","0","0","1","1","1","0","0","0",16000
229,-0.669957317514933,0.127308610644889,-0.327770815188912,"0","0","0","0","1","1","1","0","0","1",7000
55,-0.430313391497222,-1.05155130532344,1.68133014387586,"0","0","1","0","1","1","1","0","1","1",8000
1945,-0.519877283039195,-0.344235355742444,-0.727933270057267,"1","0","1","0","1","1","1","0","0","0",8000
1111,1.88563939857798,1.85630315406511,-0.399415538311859,"0","0","0","0","1","1","1","0","1","0",8000
1034,-0.586445040266337,0.598852577032221,-0.151726773451436,"0","0","1","0","1","1","1","0","1","0",40000
516,-0.499906955871052,1.07039654341955,-0.524206926789733,"0","0","1","1","1","1","1","1","1","0",21000
1716,-0.731683783307374,0.520261915967665,0.223029751231477,"0","0","1","0","1","1","1","0","1","0",28000.18
906,0.898621107328265,0.598852577032221,1.6937612655156,"0","0","0","1","0","1","1","0","1","0",46000
1882,-0.436970167219936,-0.855074652662054,0.358856205485398,"0","0","1","1","0","1","1","0","1","0",22250
2067,0.338241623761598,-1.05155130532344,3.02591867419625,"0","0","1","1","1","1","0","1","0","0",175000
223,-0.6372786003307,-0.265644694677888,0.712093907301241,"0","1","1","0","1","1","1","0","1","1",45000
69,-0.578577941684947,0.127308610644889,3.05470232279985,"0","0","1","1","0","1","1","0","1","1",6000
1502,-0.760126370486243,0.127308610644889,-0.799558938732576,"0","0","0","0","1","1","1","0","0","0",3625
2142,-0.535006318772636,0.127308610644889,-0.497210585374682,"0","0","0","0","1","1","1","0","0","0",13000
1824,-0.526534058761909,-0.344235355742444,-0.584015027039283,"0","0","0","0","1","1","1","0","1","0",12000
1881,1.04567533465731,-0.344235355742444,-0.198116731673544,"0","0","1","0","1","1","1","0","0","0",17000
315,0.252913862224989,-0.658598000000665,-0.575718720537227,"0","0","0","1","0","1","1","0","1","0",20000
1018,-0.645145698912089,-1.44450461064622,-0.177113649189239,"0","0","1","0","1","0","0","0","0","0",6000
453,-0.419420485769144,-1.44450461064622,-0.601648012884489,"1","0","1","0","1","1","1","0","0","0",10000
148,0.534313926866998,-0.344235355742444,0.502240923969488,"0","0","1","1","1","1","1","1","1","1",60000
1066,-0.436970167219936,-0.265644694677888,0.400871262529573,"0","0","0","0","1","1","1","1","1","0",32000
374,-0.625175371743947,-0.658598000000665,-0.443875916136383,"0","0","1","0","1","1","1","0","0","0",15000
2288,-0.777070890507698,-0.187054033613333,-0.778618100777225,"0","0","0","0","1","1","1","0","1","0",10000
663,-0.536216641631312,-1.75886725490444,-0.695521654623189,"0","0","0","1","0","1","1","0","0","0",7000
1298,1.35612314790753,0.127308610644889,2.0969991082329,"0","0","1","1","1","1","1","1","0","0",100000
951,-0.669352156085595,-0.658598000000665,0.299234838822711,"0","1","1","0","1","1","1","0","0","0",14000
1482,-0.756495401910217,2.01348447619422,-0.573798032215207,"0","0","0","0","1","1","1","0","0","0",8000
1822,-0.36374563427008,0.127308610644889,0.756545393050201,"0","0","0","0","1","1","1","0","1","0",17000
2163,-0.747417980470153,-1.75886725490444,-0.787527960493259,"1","0","1","0","1","1","0","0","1","0",6000
1171,-0.494460503007013,-0.0298727114842223,-0.426091765006574,"0","0","1","0","1","1","1","0","1","0",15000
1176,-0.708687648992543,-0.815779322129776,-0.591930752707161,"0","0","1","0","1","0","0","0","0","0",15000
655,-0.082950731057409,-1.24802795798483,-0.119421862924137,"1","0","1","0","1","1","0","0","0","0",12000
1072,-0.385531445726236,-0.815779322129776,-0.469040489985064,"1","1","1","0","1","1","1","0","1","0",20000
378,-0.616097950303882,-0.344235355742444,-0.710638183083527,"0","0","1","0","1","1","1","0","0","0",4000
466,0.254729346513002,0.598852577032221,-0.515030304806752,"0","0","0","0","1","1","1","1","1","0",10000
