"estandarizados_duracion_convenio.id","estandarizados_duracion_convenio.antig_anos","estandarizados_duracion_convenio.horas","estandarizados_duracion_convenio.sueldo_diario_integrado","estandarizados_duracion_convenio.tipo_de_abogado","estandarizados_duracion_convenio.trab_base","estandarizados_duracion_convenio.gen","estandarizados_duracion_convenio.reinstalacion_t","estandarizados_duracion_convenio.indem_const_t","estandarizados_duracion_convenio.sal_caidos_t","estandarizados_duracion_convenio.rec_hr_extra","estandarizados_duracion_convenio.rec_20_d_ias_t","estandarizados_duracion_convenio.sarimssinfo","estandarizados_duracion_convenio.cod_imss","estandarizados_duracion_convenio.y"
835,-0.612995287320772,-1.28567419009315,-0.417311750758192,"1","0","1","0","1","1","0","0","0","0",0.50958904109589
836,-0.217506999000047,-0.815272864956907,-0.0185828400552959,"1","0","0","0","1","1","0","0","0","0",0.663013698630137
837,0.0424728990588485,1.06633243558808,0.415349232014957,"0","0","1","0","1","1","1","0","1","0",0.342465753424658
838,-0.0384642390160906,0.125529785315588,0.419085774466126,"0","0","1","0","1","1","1","0","1","0",0.145205479452055
839,-0.0157773139496305,1.06633243558808,-0.447659303661086,"0","0","1","0","1","1","1","0","0","0",0.175342465753425
841,-0.394097118436278,0.125529785315588,5.12350652381103,"0","0","0","1","1","1","1","1","1","0",0.646575342465753
843,0.0394070983741917,0.595931110451835,0.0644556515752472,"0","0","0","0","1","1","1","0","0","0",1.35890410958904
844,-0.452347331444757,0.595931110451835,-0.420574112695253,"0","0","1","0","1","1","1","0","1","0",2.66301369863014
847,-0.577431999378754,0.125529785315588,-0.352823200839543,"0","0","1","1","1","1","1","1","1","0",0.846575342465753
848,-0.64794541512586,-0.658472423244824,-0.38443523511339,"0","0","0","0","1","1","1","0","0","0",0.517808219178082
849,-0.54861347294298,0.360730447883712,-0.0683148923749132,"0","0","0","0","1","1","1","0","0","0",1.58082191780822
854,1.20625083895456,0.360730447883712,0.121357313268173,"0","0","0","0","1","1","1","0","0","0",0.586301369863014
855,-0.419236684050463,-0.109670877252536,-0.382506901022686,"0","0","0","0","1","1","1","0","1","0",0.742465753424657
856,0.575309058052198,1.45833353986829,-0.443410646254681,"0","0","0","0","1","1","1","0","1","0",0.342465753424658
860,1.23077724443182,3.65353972383744,-0.163150995196456,"0","0","0","0","1","1","1","0","0","0",0.824657534246575
861,-0.200338515165969,0.125529785315588,-0.420574112695253,"0","0","0","1","1","1","1","1","1","0",0.235616438356164
862,0.778265063376477,0.831131773019959,-0.625742537539379,"1","0","0","0","1","1","1","0","0","0",0.512328767123288
864,-0.0636038046302763,1.06633243558808,-0.194763029470304,"0","0","1","0","1","1","1","0","1","0",1.24657534246575
865,-0.572526718283303,1.06633243558808,-0.194763029470304,"0","1","0","0","1","1","1","0","0","0",1.15616438356164
866,1.28596165675564,-0.344871539820659,-0.464122851110906,"1","0","0","0","1","1","0","0","0","0",0.545205479452055
868,-0.109590814900128,-0.815272864956907,-0.39075764196816,"0","0","0","1","1","1","0","0","1","0",0.50958904109589
869,-0.502013302536197,0.321530337455691,3.68764999265174,"0","1","0","0","1","1","1","0","0","0",0.526027397260274
870,-0.681669222657084,-2.54007772378981,-0.5124323618882,"0","0","1","0","1","1","0","1","1","0",0.638356164383562
871,-0.612995287320772,-1.05047352752503,0.311029518911259,"0","0","1","0","1","1","0","1","0","0",0.446575342465753
873,-0.784680125661552,-0.344871539820659,-0.0340221575946432,"0","0","1","0","1","1","1","0","1","0",0.641095890410959
874,1.81818465561206,-0.266471318964618,0.500701724554346,"0","1","0","1","1","1","1","0","1","0",0.517808219178082
875,-0.126759298734206,-0.109670877252536,-0.35281940739543,"0","1","0","0","1","1","1","0","1","0",0.66027397260274
876,-0.449894690897031,1.45833353986829,-0.163150995196456,"0","0","0","0","1","1","1","0","1","0",0.813698630136986
879,1.09526885416999,-0.854472975384927,2.43370807392473,"1","1","0","0","1","1","0","0","0","0",1.62739726027397
882,-0.196659554344381,-0.815272864956907,-0.45260974822837,"1","0","1","0","1","1","0","0","0","0",0.824657534246575
883,2.60241647074727,0.595931110451835,-0.113570680641354,"0","0","0","1","1","1","1","1","0","0",0.224657534246575
884,0.890473368434916,0.125529785315588,0.690373930197432,"0","0","0","0","1","1","1","0","1","0",1.58904109589041
885,-0.70680878827127,2.55593663185287,-0.177262607296302,"0","0","1","1","1","1","1","0","1","0",1.50684931506849
891,-0.787745926346209,-0.266471318964618,-0.416059914200948,"0","0","1","0","1","1","1","0","1","0",1.3972602739726
892,-0.595213643349763,-0.815272864956907,-0.503384997679024,"1","0","0","0","1","1","0","0","0","0",0.926027397260274
893,-0.663887578686075,-0.344871539820659,-0.439806874347462,"1","0","0","0","1","1","0","0","1","0",0.523287671232877
